Oraciones,Prediccion
inmanejable,negativa
insatisfactorio,negativa
inseguro,negativa
insipido,negativa
insoportable,negativa
insufrible,negativa
insustancial,negativa
insustituible,negativa
intolerable,negativa
inutilizable,negativa
irrecuperable,negativa
irregular,negativa
irrelevante,negativa
irreparable,negativa
irresponsable,negativa
irritante,negativa
lamentable,negativa
obsoleto,negativa
obstruido,negativa
patetico,negativa
pesado,negativa
pobre,negativa
problemas,negativa
rechazable,negativa
repelente,negativa
reprobable,negativa
repulsivo,negativa
ridiculo,negativa
ruinoso,negativa
tormentoso,negativa
torpe,negativa
toxico,negativa
vergonzoso,negativa
destrozado,negativa
displacer,negativa
rutinario,negativa
inutilidad,negativa
arruinado,negativa
azotado,negativa
tension,negativa
descontrolado,negativa
desgracia,negativa
calamidad,negativa
inconfundible,negativa
pena,negativa
mortificante,negativa
castigo,negativa
fracasado,negativa
indignacion,negativa
repugnante,negativa
infuriado,negativa
irracional,negativa
desatendido,negativa
predecible,negativa
desafiante,negativa
desmotivado,negativa
venenoso,negativa
olvidable,negativa
estres,negativa
apatia,negativa
desgastante,negativa
nauseabundo,negativa
cansancio,negativa
desamparado,negativa
estorbo,negativa
desorden,negativa
obstinado,negativa
penoso,negativa
desquiciado,negativa
pesadilla,negativa
erroneo,negativa
malicioso,negativa
angustioso,negativa
iracundo,negativa
descarado,negativa
futile,negativa
sombrio,negativa
incapacidad,negativa
soso,negativa
baldio,negativa
frustrado,negativa
provocador,negativa
desabrido,negativa
fatigado,negativa
traicionero,negativa
ridiculizado,negativa
caos,negativa
embrollo,negativa
limitado,negativa
burla,negativa
tormento,negativa
carente,negativa
disuadido,negativa
ofensa,negativa
aplastante,negativa
difuso,negativa
inapto,negativa
desesperado,negativa
penuria,negativa
tibio,negativa
perjudicial,negativa
vergonzante,negativa
ansioso,negativa
vertiginoso,negativa
temerario,negativa
arrepentimiento,negativa
absurdo,negativa
desgano,negativa
impulsivo,negativa
extremo,negativa
problematico,negativa
miserable,negativa
disparatado,negativa
ignorado,negativa
incorrecto,negativa
vulnerable,negativa
pesaroso,negativa
sucio,negativa
opresivo,negativa
averiado,negativa
descontento,negativa
desanimado,negativa
precario,negativa
desinteres,negativa
intolerante,negativa
vacio,negativa
deterioro,negativa
contaminado,negativa
inadaptado,negativa
aterrador,negativa
irritacion,negativa
rechazo,negativa
presion,negativa
tenso,negativa
lastimoso,negativa
oscuro,negativa
truncado,negativa
imprudente,negativa
calamitoso,negativa
inseguridad,negativa
desprecio,negativa
ruin,negativa
infeliz,negativa
espeluznante,negativa
danino,negativa
inefectivo,negativa
desquite,negativa
tedio,negativa
debil,negativa
insatisfaccion,negativa
violento,negativa
escandaloso,negativa
doloroso,negativa
conflictivo,negativa
incalculable,negativa
antipatico,negativa
resignado,negativa
desalmado,negativa
turbado,negativa
temible,negativa
atascado,negativa
grosero,negativa
vulgar,negativa
angustia,negativa
fatiga,negativa
confuso,negativa
humillacion,negativa
imposible,negativa
enfermizo,negativa
irritado,negativa
opaco,negativa
inaguantable,negativa
dudoso,negativa
desolado,negativa
mortifero,negativa
perturbador,negativa
censurable,negativa
decepcion,negativa
tembloroso,negativa
incontrolable,negativa
tragico,negativa
deshecho,negativa
inexacto,negativa
siniestro,negativa
incomodidad,negativa
desidia,negativa
tonto,negativa
repetitivo,negativa
agitado,negativa
---------------------------------,No se detecta ninguna emoción en el texto
abandonar,No se detecta ninguna emoción en el texto
abuso,negativa
acongojado,negativa
adverso,negativa
agonia,negativa
alarma,No se detecta ninguna emoción en el texto
amargura,negativa
ansiedad,negativa
arrogante,negativa
arruinar,negativa
asustado,negativa
avaricia,negativa
barrera,No se detecta ninguna emoción en el texto
caida,negativa
censura,No se detecta ninguna emoción en el texto
confusion,negativa
conmocion,negativa
conspiracion,negativa
contradiccion,negativa
corrupcion,negativa
critico,No se detecta ninguna emoción en el texto
crueldad,negativa
culpa,negativa
decadencia,negativa
declive,negativa
defecto,negativa
derrota,negativa
desaliento,No se detecta ninguna emoción en el texto
desastre,negativa
desconfianza,negativa
desesperacion,negativa
desmoralizacion,negativa
destruccion,negativa
detestar,No se detecta ninguna emoción en el texto
dificultad,No se detecta ninguna emoción en el texto
duda,negativa
envidia,negativa
error,No se detecta ninguna emoción en el texto
exceso,No se detecta ninguna emoción en el texto
fobia,negativa
frustracion,negativa
grave,No se detecta ninguna emoción en el texto
hostilidad,negativa
ignorancia,negativa
impotencia,negativa
incompetencia,negativa
indiferencia,negativa
ineficiencia,negativa
inestabilidad,negativa
infelicidad,negativa
insolente,negativa
insulto,negativa
intolerancia,No se detecta ninguna emoción en el texto
ira,No se detecta ninguna emoción en el texto
juicio,No se detecta ninguna emoción en el texto
lagrimas,No se detecta ninguna emoción en el texto
llorar,No se detecta ninguna emoción en el texto
malestar,negativa
maldad,negativa
manipulacion,No se detecta ninguna emoción en el texto
miseria,No se detecta ninguna emoción en el texto
monotonia,negativa
muerte,No se detecta ninguna emoción en el texto
nerviosismo,No se detecta ninguna emoción en el texto
niebla,No se detecta ninguna emoción en el texto
obscuro,No se detecta ninguna emoción en el texto
odio,No se detecta ninguna emoción en el texto
oposicion,No se detecta ninguna emoción en el texto
opresion,negativa
panico,negativa
perdida,negativa
pobreza,No se detecta ninguna emoción en el texto
preocupacion,negativa
problema,No se detecta ninguna emoción en el texto
queja,No se detecta ninguna emoción en el texto
rencor,negativa
repulsion,negativa
riesgo,negativa
rudeza,No se detecta ninguna emoción en el texto
ruina,No se detecta ninguna emoción en el texto
sarcasmo,No se detecta ninguna emoción en el texto
sombra,No se detecta ninguna emoción en el texto
sufrimiento,negativa
superficial,neutral
suspenso,No se detecta ninguna emoción en el texto
temor,No se detecta ninguna emoción en el texto
terror,No se detecta ninguna emoción en el texto
timidez,No se detecta ninguna emoción en el texto
tolerar,No se detecta ninguna emoción en el texto
tragedia,No se detecta ninguna emoción en el texto
trampa,No se detecta ninguna emoción en el texto
turbulencia,No se detecta ninguna emoción en el texto
vanidad,negativa
venganza,No se detecta ninguna emoción en el texto
vergÃ¼enza,No se detecta ninguna emoción en el texto
violencia,No se detecta ninguna emoción en el texto
zozobra,No se detecta ninguna emoción en el texto
abatido,negativa
ahogo,No se detecta ninguna emoción en el texto
desesperanza,No se detecta ninguna emoción en el texto
pesadumbre,No se detecta ninguna emoción en el texto
molestia,No se detecta ninguna emoción en el texto
desgaste,No se detecta ninguna emoción en el texto
engaÃ±o,No se detecta ninguna emoción en el texto
discordia,No se detecta ninguna emoción en el texto
arisco,No se detecta ninguna emoción en el texto
desanimo,No se detecta ninguna emoción en el texto
pesimismo,No se detecta ninguna emoción en el texto
desatino,No se detecta ninguna emoción en el texto
sinrazon,No se detecta ninguna emoción en el texto
inmundicia,negativa
atormentado,negativa
derrumbe,No se detecta ninguna emoción en el texto
escepticismo,No se detecta ninguna emoción en el texto
retiro,No se detecta ninguna emoción en el texto
aversion,negativa
melancolia,negativa
sinvergÃ¼enza,No se detecta ninguna emoción en el texto
catastrofe,No se detecta ninguna emoción en el texto
forzar,No se detecta ninguna emoción en el texto
prepotente,No se detecta ninguna emoción en el texto
insolencia,negativa
vacilacion,No se detecta ninguna emoción en el texto
decadente,No se detecta ninguna emoción en el texto
adoctrinar,No se detecta ninguna emoción en el texto
vulneracion,No se detecta ninguna emoción en el texto
deprimido,No se detecta ninguna emoción en el texto
hipocresia,No se detecta ninguna emoción en el texto
delirio,No se detecta ninguna emoción en el texto
alienacion,No se detecta ninguna emoción en el texto
complicacion,No se detecta ninguna emoción en el texto
frenesi,No se detecta ninguna emoción en el texto
hostil,negativa
paranoia,negativa
renuncia,No se detecta ninguna emoción en el texto
rivalidad,No se detecta ninguna emoción en el texto
trauma,No se detecta ninguna emoción en el texto
impotente,No se detecta ninguna emoción en el texto
derrotado,negativa
estrepito,No se detecta ninguna emoción en el texto
incordio,No se detecta ninguna emoción en el texto
paralisis,No se detecta ninguna emoción en el texto
habito,No se detecta ninguna emoción en el texto
desatencion,No se detecta ninguna emoción en el texto
riesgoso,negativa
someter,No se detecta ninguna emoción en el texto
ultraje,No se detecta ninguna emoción en el texto
humillar,No se detecta ninguna emoción en el texto
engaÃ±oso,No se detecta ninguna emoción en el texto
acusacion,No se detecta ninguna emoción en el texto
desaire,negativa
agravio,negativa
castigar,No se detecta ninguna emoción en el texto
tortura,No se detecta ninguna emoción en el texto
